Model,AIC,AIC_Rank,MAPE,MAPE_Rank,Rank_Diff
"(1, 1, 1)",384.23520936862406,10,7.067522839181771,1,9
"(0, 1, 0) (AUTO)",405.1803538339827,11,7.168338566835927,2,9
"(1, 1, 2)",367.69270980911,5,9.518701928122129,3,2
"(1, 1, 3)",360.24558592790027,2,9.582397816765187,4,2
"(2, 1, 2)",369.2408752030174,7,10.489950762261516,5,2
"(3, 1, 1)",369.40817162438304,8,11.0159587061902,6,2
"(2, 1, 1)",376.6449661825949,9,11.143361603963957,7,2
"(1, 2, 2)",359.51990050327765,1,11.644124983068329,8,7
"(2, 2, 1)",368.5712412121045,6,11.825412718700216,9,3
"(3, 2, 1)",361.54399660158,4,11.834037064712737,10,6
"(2, 2, 2)",361.30094423840814,3,12.602106982686202,11,8
