Order,p,d,q,MAE,RMSE,MAPE,R2,Status,AIC,BIC
"(1, 1, 1)",1,1,1,167.75063203184462,241.91579331325846,7.067522839181771,0.3539356247674248,Success,384.23520936862406,390.67888101920096
"(0, 1, 0) (AUTO)",0,1,0,170.69168199954865,249.26714775619828,7.168338566835927,0.3140737254229067,Success,405.1803538339827,408.45552615343547
"(1, 1, 2)",1,1,2,223.2687403194193,306.47183667946314,9.518701928122129,-0.036879987754896426,Success,367.69270980911,375.61030450139054
"(1, 1, 3)",1,1,3,224.70092506406678,308.1586592218383,9.582397816765187,-0.048325384487329925,Success,360.24558592790027,369.57767429683673
"(2, 1, 2)",2,1,2,243.70398126334675,323.7425779755479,10.489950762261516,-0.1570363195723139,Success,369.2408752030174,378.7419888337541
"(3, 1, 1)",3,1,1,254.74770573775496,333.0643310226448,11.015958706190201,-0.2246263522214702,Success,369.40817162438304,378.9092852551197
"(2, 1, 1)",2,1,1,257.6010091158258,336.3659348777106,11.143361603963957,-0.24902566851195806,Success,376.6449661825949,384.699555745816
"(1, 2, 2)",1,2,2,269.4822835898241,352.7590758863109,11.644124983068327,-0.3737374655292298,Success,359.51990050327765,367.29664081072474
"(2, 2, 1)",2,2,1,273.2963554267843,356.0371039027284,11.825412718700216,-0.3993871117607659,Success,368.57124121210444,376.488835904385
"(3, 2, 1)",3,2,1,273.42327655016214,355.9051849636345,11.834037064712737,-0.39835030148971073,Success,361.54399660158003,370.8760849705165
"(2, 2, 2)",2,2,2,289.94853100214243,372.10091450473584,12.602106982686202,-0.5285119031519805,Success,361.30094423840814,370.6330326073446
