Split,Train_Size,Test_Size,Model,Order,p,d,q,MAPE,RMSE,MAE,R2,AIC,Status
60:40,36,24,"AUTO (3, 2, 0)","(3, 2, 0)",3,2,0,14.712654404956696,362.2701322915395,281.5903639559631,0.10368474423670548,314.9438450500223,Success
65:35,39,21,"AUTO (3, 2, 0)","(3, 2, 0)",3,2,0,28.341992431594342,633.7147131883737,546.858852089512,-2.1984295073785423,340.53608582303644,Success
70:30,42,18,"AUTO (3, 2, 1)","(3, 2, 1)",3,2,1,10.077764308839747,287.7906636192664,213.19252646800817,0.2010808660271386,381.00908266036254,Success
75:25,45,15,"AUTO (3, 2, 0)","(3, 2, 0)",3,2,0,6.173937636763019,194.25560871706134,135.85448918266388,0.5671945698593879,409.1425792018556,Success
80:19,48,12,"AUTO (3, 2, 0)","(3, 2, 0)",3,2,0,25.46421695914659,550.0089122782828,517.7335348904135,-2.287084999407293,447.35062084087446,Success
85:15,51,9,"AUTO (3, 2, 1)","(3, 2, 1)",3,2,1,8.078227504349883,185.92359703065003,167.9672626028622,0.6203196267212228,506.81434060539624,Success
90:9,54,6,"AUTO (0, 2, 1)","(0, 2, 1)",0,2,1,9.992870249566117,269.5660664782092,236.64952934820266,0.16877338390245156,546.6243980386698,Success
60:40,36,24,"FIXED (1,1,1)","(1, 1, 1)",1,1,1,85.04926316300421,2283.568092074484,1714.2541659436554,-34.61423836884185,274.7203115696711,Success
65:35,39,21,"FIXED (1,1,1)","(1, 1, 1)",1,1,1,70.53683404574596,1754.5612567595463,1417.7165841736864,-23.518069576685335,310.08017699926756,Success
70:30,42,18,"FIXED (1,1,1)","(1, 1, 1)",1,1,1,5.287611127690962,149.6485590246297,109.9744376093758,0.7839797322748492,365.6710268728697,Success
75:25,45,15,"FIXED (1,1,1)","(1, 1, 1)",1,1,1,6.53419374061321,154.47702203154068,134.6266737554615,0.7263009157996083,398.74864725247636,Success
80:19,48,12,"FIXED (1,1,1)","(1, 1, 1)",1,1,1,22.028525298867592,467.4265136566841,443.3869656095006,-1.374095402576276,430.87556766654063,Success
85:15,51,9,"FIXED (1,1,1)","(1, 1, 1)",1,1,1,6.884973392855959,227.68350165932,162.93959238095826,0.4306068398384786,497.16670594864524,Success
90:9,54,6,"FIXED (1,1,1)","(1, 1, 1)",1,1,1,9.323522930377582,273.9088898380179,225.99348391942578,0.1417748177808028,536.184257097425,Success
