Model,Split,Train_Size,Test_Size,MAPE,R2,MAE,RMSE,GDP_Coef,GDP_pvalue,GDP_Significant,Converged,No_Autocorr
"ARIMAX(3, 2, 1)",70:30,42,18,5.205514638166283,0.7172923136324336,111.71408960908173,171.19619095091008,0.90345861711117,0.0006626434511333299,True,True,True
"ARIMAX(3, 2, 1)",75:25,45,15,5.632397386414638,0.6476212901307212,122.68051794962618,175.27987187658596,0.9849131978419173,0.013029453559826867,True,True,True
"ARIMAX(3, 2, 1)",80:19,48,12,23.52848954859963,-1.6985605286424228,473.4742331854762,498.3452710139756,1.0754320544425326,0.05896645966101847,False,True,True
"ARIMAX(3, 2, 1)",85:15,51,9,8.825251796757946,0.32836150942645004,200.42442304452192,247.28241163268072,0.8443169939294598,0.21204111515600987,False,True,True
"ARIMAX(1, 1, 1)",70:30,42,18,5.287611127690962,0.7839797322748492,109.9744376093758,149.6485590246297,1.225116443085331,0.21230115863408627,False,True,False
"ARIMAX(1, 1, 1)",75:25,45,15,6.53419374061321,0.7263009157996083,134.6266737554615,154.47702203154068,1.156037228934598,0.3422746564806103,False,True,False
"ARIMAX(1, 1, 1)",80:19,48,12,22.028525298867592,-1.374095402576276,443.3869656095006,467.4265136566841,1.0279912771232902,0.10075886489486671,False,True,False
"ARIMAX(1, 1, 1)",85:15,51,9,6.884973392855959,0.4306068398384786,162.93959238095826,227.68350165932,1.0931724586631248,0.48408776737094394,False,True,True
"ARIMAX(3, 1, 1)",70:30,42,18,5.645773133034246,0.7177609899462151,118.7371645806894,171.05422650306286,1.2096803153967572,0.005427740822959839,True,True,True
"ARIMAX(3, 1, 1)",75:25,45,15,6.023592013361548,0.6367974638743226,128.90438822873045,177.95149982199524,1.392313186558821,6.359347029943582e-11,True,True,True
"ARIMAX(3, 1, 1)",80:19,48,12,15.638910085885163,-0.20265189895957936,302.43599785458235,332.68577390806934,1.6605779953949669,6.401456343175888e-19,True,True,True
"ARIMAX(3, 1, 1)",85:15,51,9,8.011288918039345,0.6659846491100802,164.73823048169317,174.38481000613552,1.666185377433051,3.31102454280064e-07,True,True,True
