Test_Year,Train_Period,Train_Size,Actual,Predicted,Error,Pct_Error,APE,Converged,Model
2022,1965-2021,57,2472.9053,2039.286184153153,433.61911584684685,17.53480474350744,17.53480474350744,True,"ARIMAX(3, 2, 6)"
2023,1965-2022,58,2491.822,2720.1405423944716,-228.31854239447148,-9.162714768329018,9.162714768329018,True,"ARIMAX(3, 2, 6)"
2024,1965-2023,59,2663.0469,2723.2714311733203,-60.22453117332043,-2.2614896933779285,2.2614896933779285,True,"ARIMAX(3, 2, 6)"
2022,1965-2021,57,2472.9053,2036.9375472988481,435.96775270115177,17.62977954316131,17.62977954316131,True,"ARIMAX(1, 1, 1)"
2023,1965-2022,58,2491.822,2672.829698225373,-181.00769822537268,-7.264070155306947,7.264070155306947,True,"ARIMAX(1, 1, 1)"
2024,1965-2023,59,2663.0469,2576.921798464366,86.1251015356338,3.2340812899552693,3.2340812899552693,True,"ARIMAX(1, 1, 1)"
2022,1965-2021,57,2472.9053,2001.1674712276274,471.7378287723725,19.076259360694987,19.076259360694987,True,"ARIMAX(3, 2, 1)"
2023,1965-2022,58,2491.822,2676.5660453124624,-184.74404531246228,-7.414014536851439,7.414014536851439,True,"ARIMAX(3, 2, 1)"
2024,1965-2023,59,2663.0469,2421.548203657002,241.49869634299785,9.068510822809687,9.068510822809687,True,"ARIMAX(3, 2, 1)"
